tag,Literacy,FormalEmp,Currentstatus,MSLinvestment,MSWinvestment
Asset,0.184160817518593,0.26007019829912964,0.28271465060727324,0.02173073367662008,0.004547109364235688
BF,0.21061635113663146,0.22857308703765256,0.21964917031248737,0.013723311743966092,0.007486450250242362
FC,0.1618541585066186,0.2090915684219575,0.27062382787993067,0.013673902338994539,0.005800450402437005
CHH,0.1674032413060638,0.20632310889382166,0.1112502772659508,0.012590141707506141,0.00547136575011415
