tag,pre,post
Business Services,"250000","2000000"
Cigarettes-Tobacco Products,"480000000",0
Construction,"60000000",0
Manufacturing (Machinery & Equipments),"22385000000","32800000"
"Manufacturing (Metals & Chemicals, and products thereof)","360700000","380500000"
Manufacturing (Textiles),"12000000",0
Manufacturing (Wood Products),"3000000",0
Pharmaceuticals,"1000000",0
Trading,0,"3000000"
Agriculture and Allied Activities,0,"6236146"
